title,reporting_organisation,iati_identifier,sector_code,sector_name,start_actual,end_actual,recipient_country,recipient_country_code,position,budget_date,budget_amount
MULTILATORGANISATION and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-101,16062,Statistical capacity building,11/1/2005,1/1/2009,Uganda,UG,,11/1/2005,571973
MULTILATORGANISATION and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-101,16062,Statistical capacity building,11/1/2005,1/1/2009,Uganda,UG,,11/1/2005,225487
MULTILATORGANISATION and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-101,16062,Statistical capacity building,11/1/2005,1/1/2009,Uganda,UG,,11/1/2005,109213
MULTILATORGANISATION and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-101,16062,Statistical capacity building,11/1/2005,1/1/2009,Uganda,UG,,11/1/2005,-109759
MULTILATORGANISATION and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-101,16062,Statistical capacity building,11/1/2005,1/1/2009,Uganda,UG,,11/1/2005,109759
PROCOFSERVICES and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-102,16062,Statistical capacity building,11/1/2005,9/30/2010,Uganda,UG,,11/1/2005,267428
PROCOFSERVICES and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-102,16062,Statistical capacity building,11/1/2005,9/30/2010,Uganda,UG,,11/1/2005,104928
PROCOFSERVICES and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-102,16062,Statistical capacity building,11/1/2005,9/30/2010,Uganda,UG,,11/1/2005,123602
PROCOFSERVICES and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-102,16062,Statistical capacity building,11/1/2005,9/30/2010,Uganda,UG,,11/1/2005,122021
PROCOFSERVICES and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-102,16062,Statistical capacity building,11/1/2005,9/30/2010,Uganda,UG,,11/1/2005,45113
NONBUDSUPPFINAID and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-103,16062,Statistical capacity building,11/1/2005,10/30/2010,Uganda,UG,,11/1/2005,593000
NONBUDSUPPFINAID and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-103,16062,Statistical capacity building,11/1/2005,10/30/2010,Uganda,UG,,11/1/2005,1272087
NONBUDSUPPFINAID and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-103,16062,Statistical capacity building,11/1/2005,10/30/2010,Uganda,UG,,11/1/2005,1013103
NONBUDSUPPFINAID and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-103,16062,Statistical capacity building,11/1/2005,10/30/2010,Uganda,UG,,11/1/2005,3081028
NONBUDSUPPFINAID and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-103,16062,Statistical capacity building,11/1/2005,10/30/2010,Uganda,UG,,11/1/2005,374928
NONBUDSUPPFINAID and P0024 for Strengthening Evidence Based Decision Making In Uganda,Department for International Development,GB-1-105593-103,16062,Statistical capacity building,11/1/2005,10/30/2010,Uganda,UG,,11/1/2005,536
Interim Support to UBOS Plan for National Statistics Development,Department for International Development,GB-1-105593-105,16062,Statistical capacity building,3/16/2010,6/30/2010,Uganda,UG,,3/16/2010,270000
PSRP Uganda Non Budget Financial Aid,Department for International Development,GB-1-105594-101,15110,Public sector policy and administrative management,8/1/2005,6/30/2010,Uganda,UG,,8/1/2005,1250000
PSRP Uganda Non Budget Financial Aid,Department for International Development,GB-1-105594-101,15110,Public sector policy and administrative management,8/1/2005,6/30/2010,Uganda,UG,,8/1/2005,1500000
PSRP Uganda Non Budget Financial Aid,Department for International Development,GB-1-105594-101,15110,Public sector policy and administrative management,8/1/2005,6/30/2010,Uganda,UG,,8/1/2005,1500000
PSRP Uganda Procurement of Services,Department for International Development,GB-1-105594-102,15110,Public sector policy and administrative management,8/1/2005,6/30/2010,Uganda,UG,,8/1/2005,324206
PSRP Uganda Procurement of Services,Department for International Development,GB-1-105594-102,15110,Public sector policy and administrative management,8/1/2005,6/30/2010,Uganda,UG,,8/1/2005,52067
PSRP Uganda Procurement of Services,Department for International Development,GB-1-105594-102,15110,Public sector policy and administrative management,8/1/2005,6/30/2010,Uganda,UG,,8/1/2005,126884
PSRP Uganda Procurement of Services,Department for International Development,GB-1-105594-102,15110,Public sector policy and administrative management,8/1/2005,6/30/2010,Uganda,UG,,8/1/2005,69457
PSRP Uganda Procurement of Services,Department for International Development,GB-1-105594-102,15110,Public sector policy and administrative management,8/1/2005,6/30/2010,Uganda,UG,,8/1/2005,25256
PSRP Uganda Procurement of Services,Department for International Development,GB-1-105594-102,15110,Public sector policy and administrative management,8/1/2005,6/30/2010,Uganda,UG,,8/1/2005,9483
FINMAP Non Budget Financial Aid,Department for International Development,GB-1-105595-101,15111,Public finance management,12/1/2006,7/1/2011,Uganda,UG,,12/1/2006,1500000
FINMAP Non Budget Financial Aid,Department for International Development,GB-1-105595-101,15111,Public finance management,12/1/2006,7/1/2011,Uganda,UG,,12/1/2006,1250000
FINMAP Non Budget Financial Aid,Department for International Development,GB-1-105595-101,15111,Public finance management,12/1/2006,7/1/2011,Uganda,UG,,12/1/2006,1200000
FINMAP Non Budget Financial Aid,Department for International Development,GB-1-105595-101,15111,Public finance management,12/1/2006,7/1/2011,Uganda,UG,,12/1/2006,1000000
FINMAP Non Budget Financial Aid,Department for International Development,GB-1-105595-101,15111,Public finance management,12/1/2006,7/1/2011,Uganda,UG,,12/1/2006,0
FINMAP Non Budget Financial Aid,Department for International Development,GB-1-105595-101,15111,Public finance management,12/1/2006,7/1/2011,Uganda,UG,,12/1/2006,0
Procurement of services for the financial aid programme,Department for International Development,GB-1-105595-102,15111,Public finance management,6/24/2008,7/31/2011,Uganda,UG,,6/24/2008,71359
Procurement of services for the financial aid programme,Department for International Development,GB-1-105595-102,15111,Public finance management,6/24/2008,7/31/2011,Uganda,UG,,6/24/2008,147076
Procurement of services for the financial aid programme,Department for International Development,GB-1-105595-102,15111,Public finance management,6/24/2008,7/31/2011,Uganda,UG,,6/24/2008,323843
Procurement of services for the financial aid programme,Department for International Development,GB-1-105595-102,15111,Public finance management,6/24/2008,7/31/2011,Uganda,UG,,6/24/2008,228851
FINMAP Uganda Accountable Grant,Department for International Development,GB-1-105595-103,15111,Public finance management,4/1/2008,4/30/2009,Uganda,UG,,4/1/2008,84848
FINMAP Uganda Accountable Grant,Department for International Development,GB-1-105595-103,15111,Public finance management,4/1/2008,4/30/2009,Uganda,UG,,4/1/2008,188
Multilateral World Bank,Department for International Development,GB-1-105595-104,15111,Public finance management,11/5/2009,6/30/2010,Uganda,UG,,11/5/2009,148731
HIV AIDS Umbrella Phase 2 Non Budget Financial Aid,Department for International Development,GB-1-105600-101,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,400000
HIV AIDS Umbrella Phase 2 Non Budget Financial Aid,Department for International Development,GB-1-105600-101,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,385259
HIV AIDS Umbrella Phase 2 Non Budget Financial Aid,Department for International Development,GB-1-105600-101,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,200000
HIV AIDS Umbrella Phase 2 Accountable Grants,Department for International Development,GB-1-105600-102,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,1537912
HIV AIDS Umbrella Phase 2 Accountable Grants,Department for International Development,GB-1-105600-102,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,1049745
HIV AIDS Umbrella Phase 2 Accountable Grants,Department for International Development,GB-1-105600-102,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,115107
HIV AIDS Umbrella Phase 2 Accountable Grants,Department for International Development,GB-1-105600-102,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,72649
HIV AIDS Umbrella Phase 2 Accountable Grants,Department for International Development,GB-1-105600-102,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,1180
HIV AIDS Umbrella Phase 2 Procurement of Services,Department for International Development,GB-1-105600-103,13040,STD control including HIV/Aids,7/1/2006,12/31/2010,Uganda,UG,,7/1/2006,35095
HIV AIDS Umbrella Phase 2 Procurement of Services,Department for International Development,GB-1-105600-103,13040,STD control including HIV/Aids,7/1/2006,12/31/2010,Uganda,UG,,7/1/2006,85395
HIV AIDS Umbrella Phase 2 Procurement of Services,Department for International Development,GB-1-105600-103,13040,STD control including HIV/Aids,7/1/2006,12/31/2010,Uganda,UG,,7/1/2006,51219
HIV AIDS Umbrella Phase 2 Procurement of Services,Department for International Development,GB-1-105600-103,13040,STD control including HIV/Aids,7/1/2006,12/31/2010,Uganda,UG,,7/1/2006,114313
HIV AIDS Umbrella Phase 2 Procurement of Services,Department for International Development,GB-1-105600-103,13040,STD control including HIV/Aids,7/1/2006,12/31/2010,Uganda,UG,,7/1/2006,67795
HIV AIDS Umbrella Phase 2 Multilaterals,Department for International Development,GB-1-105600-104,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,1897567
HIV AIDS Umbrella Phase 2 Multilaterals,Department for International Development,GB-1-105600-104,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,3294683
HIV AIDS Umbrella Phase 2 Multilaterals,Department for International Development,GB-1-105600-104,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,3928652
HIV AIDS Umbrella Phase 2 Multilaterals,Department for International Development,GB-1-105600-104,13040,STD control including HIV/Aids,7/1/2006,3/31/2010,Uganda,UG,,7/1/2006,-300000
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,61983
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,508614
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,1112392
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,775341
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,976438
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,1437005
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,1086521
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,667262
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,467322
Support to the URA Procurement of Services,Department for International Development,GB-1-105649-101,15111,Public finance management,6/1/2000,3/1/2011,Uganda,UG,,6/1/2000,324624
Support to the URA Non Budget Financial Aid,Department for International Development,GB-1-105649-104,15111,Public finance management,6/1/2000,9/1/2009,Uganda,UG,,6/1/2000,900000
Support to the URA Non Budget Financial Aid,Department for International Development,GB-1-105649-104,15111,Public finance management,6/1/2000,9/1/2009,Uganda,UG,,6/1/2000,963239
Support to the URA Non Budget Financial Aid,Department for International Development,GB-1-105649-104,15111,Public finance management,6/1/2000,9/1/2009,Uganda,UG,,6/1/2000,0
Civil Society Umbrella Programme - Support to Ngo's (Data Migrated From ARIES Into 105659-101),Department for International Development,GB-1-105659-101,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,884066
Civil Society Umbrella Programme - Support to Ngo's (Data Migrated From ARIES Into 105659-101),Department for International Development,GB-1-105659-101,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,1027210
Civil Society Umbrella Programme - Support to Ngo's (Data Migrated From ARIES Into 105659-101),Department for International Development,GB-1-105659-101,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,1340584
Civil Society Umbrella Programme - Support to Ngo's (Data Migrated From ARIES Into 105659-101),Department for International Development,GB-1-105659-101,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,913489
Civil Society Umbrella Programme - Support to Ngo's (Data Migrated From ARIES Into 105659-101),Department for International Development,GB-1-105659-101,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,21981
Civil Society Umbrella Programme - Support to Ngo's (Data Migrated From ARIES Into 105659-101),Department for International Development,GB-1-105659-101,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,8890
Civil Society Umbrella Programme - Technical Assistance Component,Department for International Development,GB-1-105659-102,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,139390
Civil Society Umbrella Programme - Technical Assistance Component,Department for International Development,GB-1-105659-102,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,126381
Civil Society Umbrella Programme - Technical Assistance Component,Department for International Development,GB-1-105659-102,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,171242
Civil Society Umbrella Programme - Technical Assistance Component,Department for International Development,GB-1-105659-102,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,91503
Civil Society Umbrella Programme - Technical Assistance Component,Department for International Development,GB-1-105659-102,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,84516
Civil Society Umbrella Programme - Technical Assistance Component,Department for International Development,GB-1-105659-102,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,85372
Ag4065: Support to KABAROLE Research CENTER (KRC) for Poverty Resource Monitoring and Tracking Model,Department for International Development,GB-1-105659-104,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,38549
Ag4065: Support to KABAROLE Research CENTER (KRC) for Poverty Resource Monitoring and Tracking Model,Department for International Development,GB-1-105659-104,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,59190
Ag4074: Support to WATERAID Policy Development and Monitoring Project,Department for International Development,GB-1-105659-106,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,13678
Ag4457: Support to CENTER for Domestic Violence and Prevention (CEDOVIP),Department for International Development,GB-1-105659-111,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,2589
Ag4457: Support to CENTER for Domestic Violence and Prevention (CEDOVIP),Department for International Development,GB-1-105659-111,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,7995
